"Player","FGA","Proportion of FGA From Right Side"
"Nikola Vucevic",1247,0.41
"Bradley Beal",1210,0.51
"Luka Doncic",1169,0.46
"Damian Lillard",1147,0.45
"Jayson Tatum",1141,0.51
"Julius Randle",1137,0.49
"Stephen Curry",1128,0.55
"Nikola Jokic",1122,0.55
"Devin Booker",1117,0.49
"De'Aaron Fox",1110,0.36
"Donovan Mitchell",1091,0.51
"Jaylen Brown",1065,0.51
"Anthony Edwards",1048,0.5
"Russell Westbrook",1040,0.47
"Brandon Ingram",1038,0.48
"Zach LaVine",1030,0.41
"Malcolm Brogdon",975,0.54
"Trae Young",962,0.54
"Zion Williamson",955,0.35
"Terry Rozier",952,0.53
"Giannis Antetokounmpo",944,0.48
"Kyrie Irving",929,0.59
"RJ Barrett",925,0.46
"Collin Sexton",922,0.55
"Jerami Grant",922,0.53
"Khris Middleton",916,0.49
"Andrew Wiggins",894,0.47
"Jordan Clarkson",880,0.51
"Buddy Hield",852,0.4
"Dillon Brooks",851,0.5
"Paul George",850,0.6
"Dejounte Murray",840,0.51
"Kawhi Leonard",836,0.58
"Pascal Siakam",833,0.53
"Ja Morant",806,0.36
"Norman Powell",799,0.48
"Fred VanVleet",796,0.55
"Tobias Harris",795,0.5
"Jamal Murray",792,0.46
"Darius Garland",788,0.53
"DeMar DeRozan",782,0.43
"Joel Embiid",781,0.4
"Chris Paul",765,0.67
"Domantas Sabonis",764,0.43
"Tim Hardaway Jr.",762,0.6
"Bojan Bogdanovic",757,0.57
"Coby White",756,0.47
"LeBron James",756,0.45
"Gary Trent Jr.",733,0.47
"Dennis Schroder",727,0.52
"John Wall",726,0.55
"Kelly Oubre Jr.",724,0.59
"James Harden",722,0.47
"Karl-Anthony Towns",720,0.4
"Bam Adebayo",712,0.49
"CJ McCollum",705,0.49
"Carmelo Anthony",705,0.57
"Michael Porter Jr.",682,0.47
"John Collins",681,0.53
"Jimmy Butler",671,0.69
"Kyle Kuzma",668,0.51
"Kevin Huerter",666,0.57
"Jrue Holiday",661,0.51
"Gordon Hayward",658,0.54
"Josh Jackson",648,0.52
"Jonas Valanciunas",646,0.47
"Harrison Barnes",642,0.52
"Joe Harris",641,0.55
"Deandre Ayton",640,0.48
"Duncan Robinson",629,0.55
"Kristaps Porzingis",629,0.45
"Tyler Herro",627,0.52
"Mike Conley",623,0.55
"Clint Capela",621,0.49
"Eric Bledsoe",616,0.5
"Terrence Ross",616,0.53
"Devonte' Graham",612,0.49
"Caris LeVert",609,0.5
"Will Barton",608,0.48
"Dwayne Bacon",605,0.48
"Malik Beasley",600,0.51
"Kemba Walker",597,0.54
"Tyrese Haliburton",597,0.58
"Keldon Johnson",594,0.52
"Christian Wood",590,0.54
"Lou Williams",588,0.48
"Lonzo Ball",587,0.43
"Shake Milton",586,0.42
"Kelly Olynyk",582,0.52
"Mikal Bridges",578,0.53
"Victor Oladipo",576,0.58
"Elfrid Payton",575,0.64
"Luguentz Dort",566,0.52
"Shai Gilgeous-Alexander",565,0.47
"P.J. Washington",563,0.55
"Kyle Lowry",560,0.47
"Darius Bazley",557,0.51
"Kyle Anderson",557,0.52
"Kendrick Nunn",555,0.43
"Miles Bridges",555,0.55
